iter	Passed	Remaining
0	92	92712
1	102	51270
2	110	36687
3	116	29002
4	122	24302
5	127	21123
6	132	18742
7	136	16940
8	141	15547
9	145	14413
10	150	13500
11	154	12712
12	158	12036
13	162	11469
14	167	10971
15	171	10535
16	175	10165
17	180	9824
18	184	9518
19	188	9243
20	193	9015
21	197	8789
22	201	8579
23	206	8383
24	210	8212
25	214	8048
26	219	7901
27	223	7751
28	227	7622
29	232	7502
30	236	7382
31	240	7280
32	245	7185
33	249	7088
34	253	6994
35	258	6914
36	262	6836
37	267	6765
38	271	6691
39	276	6624
40	280	6554
41	284	6491
42	288	6428
43	293	6369
44	297	6307
45	301	6249
46	306	6205
47	310	6156
48	315	6115
49	319	6064
50	323	6020
51	328	5980
52	332	5939
53	336	5892
54	340	5856
55	345	5821
56	349	5786
57	354	5752
58	358	5716
59	362	5681
60	366	5648
61	371	5614
62	375	5582
63	379	5553
64	383	5521
65	388	5497
66	392	5470
67	397	5441
68	401	5415
69	405	5393
70	410	5369
71	414	5343
72	418	5319
73	423	5297
74	427	5274
75	432	5252
76	436	5232
77	441	5215
78	445	5197
79	450	5176
80	454	5155
81	458	5136
82	463	5118
83	467	5099
84	472	5081
85	476	5063
86	480	5046
87	485	5033
88	490	5017
89	494	5000
90	498	4983
91	503	4967
92	507	4951
93	511	4934
94	516	4920
95	520	4905
96	525	4890
97	529	4874
98	534	4861
99	538	4845
100	542	4827
101	546	4811
102	550	4797
103	555	4782
104	559	4770
105	564	4758
106	568	4745
107	573	4734
108	577	4724
109	582	4713
110	586	4699
111	591	4686
112	595	4673
113	599	4659
114	603	4648
115	608	4636
116	612	4625
117	617	4613
118	621	4599
119	625	4587
120	630	4576
121	634	4565
122	638	4555
123	643	4543
124	647	4532
125	651	4520
126	656	4509
127	660	4499
128	664	4489
129	669	4478
130	673	4468
131	678	4461
132	682	4450
133	686	4439
134	691	4429
135	695	4420
136	699	4409
137	704	4398
138	708	4388
139	712	4379
140	717	4370
141	721	4361
142	726	4351
143	730	4340
144	734	4331
145	738	4320
146	743	4311
147	747	4302
148	751	4293
149	755	4283
150	760	4275
151	764	4264
152	768	4254
153	772	4245
154	777	4236
155	781	4230
156	786	4220
157	790	4213
158	794	4204
159	799	4195
160	803	4187
161	807	4179
162	812	4170
163	816	4160
164	820	4151
165	824	4143
166	828	4134
167	833	4126
168	837	4118
169	842	4111
170	846	4103
171	850	4095
172	854	4086
173	859	4078
174	863	4070
175	867	4063
176	872	4055
177	876	4049
178	881	4042
179	885	4034
180	889	4026
181	894	4018
182	898	4011
183	903	4008
184	908	4000
185	912	3994
186	917	3988
187	921	3981
188	926	3974
189	930	3966
190	934	3958
191	939	3953
192	943	3946
193	948	3939
194	952	3932
195	956	3925
196	961	3918
197	965	3910
198	969	3904
199	974	3898
200	978	3891
201	983	3884
202	987	3876
203	991	3870
204	996	3863
205	1000	3855
206	1004	3848
207	1008	3841
208	1013	3834
209	1017	3827
210	1021	3819
211	1025	3813
212	1030	3806
213	1034	3799
214	1038	3792
215	1043	3787
216	1047	3781
217	1052	3775
218	1057	3771
219	1061	3764
220	1065	3757
221	1070	3752
222	1075	3746
223	1079	3740
224	1084	3734
225	1088	3727
226	1092	3721
227	1097	3715
228	1101	3709
229	1106	3704
230	1110	3697
231	1114	3690
232	1119	3685
233	1123	3679
234	1127	3671
235	1132	3665
236	1136	3658
237	1140	3651
238	1144	3644
239	1148	3638
240	1153	3632
241	1157	3625
242	1161	3619
243	1165	3612
244	1170	3605
245	1174	3598
246	1178	3592
247	1183	3587
248	1187	3581
249	1191	3575
250	1196	3569
251	1200	3563
252	1204	3557
253	1209	3552
254	1213	3546
255	1218	3540
256	1222	3534
257	1226	3528
258	1231	3522
259	1235	3516
260	1239	3510
261	1244	3505
262	1248	3499
263	1253	3493
264	1257	3488
265	1261	3481
266	1265	3475
267	1270	3469
268	1274	3464
269	1279	3459
270	1284	3454
271	1288	3447
272	1292	3442
273	1297	3437
274	1301	3431
275	1306	3427
276	1310	3421
277	1315	3415
278	1319	3409
279	1323	3403
280	1327	3397
281	1332	3391
282	1336	3385
283	1340	3379
284	1344	3373
285	1348	3367
286	1353	3363
287	1358	3357
288	1362	3352
289	1367	3346
290	1371	3341
291	1375	3336
292	1380	3331
293	1384	3325
294	1389	3319
295	1393	3314
296	1398	3309
297	1402	3303
298	1406	3297
299	1410	3291
300	1415	3286
301	1419	3280
302	1423	3274
303	1427	3268
304	1431	3262
305	1436	3257
306	1440	3251
307	1444	3246
308	1448	3240
309	1453	3234
310	1457	3229
311	1461	3223
312	1466	3218
313	1470	3213
314	1475	3208
315	1479	3203
316	1484	3198
317	1488	3193
318	1493	3188
319	1498	3184
320	1503	3180
321	1508	3175
322	1512	3170
323	1517	3165
324	1521	3160
325	1525	3154
326	1530	3149
327	1534	3144
328	1539	3139
329	1543	3134
330	1548	3129
331	1552	3124
332	1557	3119
333	1561	3113
334	1566	3108
335	1570	3103
336	1574	3097
337	1578	3092
338	1583	3086
339	1587	3082
340	1592	3077
341	1596	3071
342	1600	3066
343	1605	3061
344	1609	3055
345	1613	3049
346	1617	3044
347	1621	3038
348	1625	3033
349	1630	3028
350	1634	3022
351	1638	3017
352	1643	3011
353	1647	3006
354	1651	3001
355	1656	2995
356	1660	2990
357	1664	2985
358	1669	2980
359	1673	2975
360	1677	2970
361	1682	2964
362	1686	2960
363	1691	2955
364	1695	2949
365	1700	2945
366	1704	2939
367	1708	2934
368	1713	2930
369	1717	2924
370	1722	2919
371	1726	2914
372	1730	2909
373	1735	2904
374	1739	2898
375	1743	2893
376	1747	2888
377	1752	2883
378	1756	2877
379	1760	2872
380	1764	2867
381	1769	2862
382	1773	2856
383	1777	2851
384	1781	2846
385	1786	2841
386	1790	2836
387	1794	2830
388	1798	2825
389	1803	2820
390	1807	2815
391	1811	2809
392	1815	2804
393	1820	2799
394	1824	2795
395	1828	2789
396	1833	2784
397	1837	2779
398	1842	2774
399	1846	2770
400	1851	2765
401	1855	2760
402	1860	2756
403	1865	2752
404	1869	2747
405	1874	2742
406	1879	2737
407	1883	2733
408	1888	2728
409	1893	2724
410	1897	2719
411	1902	2714
412	1906	2709
413	1911	2705
414	1915	2700
415	1920	2695
416	1924	2690
417	1928	2685
418	1933	2680
419	1938	2676
420	1942	2671
421	1947	2666
422	1951	2662
423	1956	2657
424	1960	2653
425	1965	2648
426	1970	2643
427	1974	2639
428	1979	2634
429	1983	2629
430	1988	2625
431	1992	2620
432	1997	2615
433	2001	2610
434	2006	2605
435	2010	2600
436	2014	2595
437	2019	2590
438	2023	2585
439	2027	2580
440	2031	2575
441	2036	2570
442	2040	2565
443	2044	2560
444	2048	2555
445	2053	2550
446	2057	2545
447	2062	2540
448	2066	2536
449	2070	2530
450	2075	2526
451	2079	2521
452	2083	2516
453	2088	2511
454	2093	2507
455	2097	2502
456	2101	2497
457	2106	2492
458	2110	2487
459	2114	2482
460	2119	2477
461	2123	2472
462	2127	2468
463	2131	2462
464	2136	2457
465	2140	2452
466	2145	2448
467	2149	2443
468	2153	2438
469	2157	2432
470	2161	2428
471	2166	2423
472	2170	2418
473	2175	2413
474	2179	2408
475	2183	2403
476	2187	2398
477	2192	2393
478	2196	2388
479	2200	2383
480	2204	2378
481	2208	2373
482	2212	2368
483	2216	2363
484	2221	2358
485	2225	2353
486	2229	2348
487	2233	2343
